"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50","Scenario 4: Suite-level failure: beforeAll hook failure","Scenario 4: Suite-level failure","Sun Nov 09 22:23:44 EST 2025","broken","Sun Nov 09 22:23:44 EST 2025","","","",""
"","2","test should run successfully","Scenario 1: All hooks pass","Sun Nov 09 22:23:40 EST 2025","passed","Sun Nov 09 22:23:40 EST 2025","","","",""
